drug_name,drug_name_en,indication,indication_en,company_clean,therapeutic_area_norm,therapeutic_area_norm_en,highest_phase_indication_standard,highest_phase_standard_sort_val,drug_synonyms,targets,mechanism_of_action,global_highest_phase_all_indication_standard,global_highest_phase_all_indication_sort_val,global_highest_phase_all_indication_date,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,is_top20_mnc,is_cyclic_peptide,is_rare_disease,is_originator_indication_drug,is_top20mnc_indication_drug,research_institution,research_institution_count
杆菌肽,bacitracin,细菌感染,bacterial infection,Columbia University,感染领域,Infectious Diseases,approved,5,杆菌肽;bacitracin,not available,多肽类抗生素,approved,5,1948-07-29,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多肽类抗生素,False,True,False,True,False,Columbia University(原研),1
缩宫素,oxytocin,催产/引产,Oxygen/induced labor,Travere Therapeutics,泌尿生殖领域,Genitourinary,approved,5,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,oxytocin,合成的oxytocin,approved,5,1954-06-30,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class,合成的,False,True,False,True,False,Travere Therapeutics(原研),1
缩宫素,oxytocin,产后子宫出血,Postpartum uterine bleeding,Travere Therapeutics,泌尿生殖领域,Genitourinary,approved,5,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,oxytocin,合成的oxytocin,approved,5,1954-06-30,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class,合成的,False,True,False,True,False,Travere Therapeutics(原研),1
缩宫素,oxytocin,孤独症谱系障碍,autism spectrum disorder,Travere Therapeutics,精神领域,Psychiatry,phase 3,3,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,oxytocin,合成的oxytocin,approved,5,1954-06-30,III期临床,,Active,创新药,化药,多肽,环肽;First-in-Class,合成的,False,True,False,True,False,Travere Therapeutics(原研),1
多粘菌素B,polymyxin B,细菌性肺炎,bacterial pneumonia,,感染领域,Infectious Diseases,approved,5,多粘菌素B;polymyxin B,not available,多粘菌素类抗生素,approved,5,1956-08-06,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,False,True,False,False,False,--,0
多粘菌素B,polymyxin B,菌血症,bacteremia,,感染领域,Infectious Diseases,approved,5,多粘菌素B;polymyxin B,not available,多粘菌素类抗生素,approved,5,1956-08-06,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,False,True,False,False,False,--,0
多粘菌素B,polymyxin B,细菌性心内膜炎,bacterial endocarditis,,感染领域,Infectious Diseases,approved,5,多粘菌素B;polymyxin B,not available,多粘菌素类抗生素,approved,5,1956-08-06,批准上市,,Active,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,False,True,False,False,False,--,0
放线菌素D,dactinomycin,肾母细胞瘤,nephroblastoma,Recordati Rare Diseases,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,True,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,肾母细胞瘤,nephroblastoma,Tiziana Life Sciences,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
放线菌素D,dactinomycin,肾母细胞瘤,nephroblastoma,Rasna,肿瘤领域,Oncology,approved,5,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,DNA,放线菌素抗生素,approved,5,1964-12-10,批准上市,,Active,创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,False,True,True,False,False,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),3
