drug_name,drug_name_en,drug_synonyms,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indications_json
111In-DPI-4452,111In-DPI-4452,111In-DPI-4452,CAIX,含铟放射性示踪剂;anti-CAIX多肽偶联核素,Debiopharm;3B Pharmaceuticals(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;Potential First-in-Class,多肽偶联核素;含铟放射性示踪剂,临床前,,Active,肿瘤领域,DR042206,欧洲,pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,FALSE,[],['3B Pharmaceuticals'],1,"['Debiopharm', '3B Pharmaceuticals(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""癌症"", ""indication_en"": ""cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""SPECT显像"", ""indication_en"": ""SPECT imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
111In-DPI-4501,111In-DPI-4501,111In-DPI-4501,CAIX,含铟放射性示踪剂;anti-CAIX多肽偶联核素,Debiopharm;3B Pharmaceuticals(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;诊断用放射性药物;Potential First-in-Class,多肽偶联核素;含铟放射性示踪剂,临床前,,Active,肿瘤领域,DR014701,欧洲,pre-clinical,临床前,,pre-clinical,2,TRUE,FALSE,FALSE,[],['3B Pharmaceuticals'],1,"['Debiopharm', '3B Pharmaceuticals(原研)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""肾细胞癌"", ""indication_en"": ""renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""SPECT显像"", ""indication_en"": ""SPECT imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""结直肠癌"", ""indication_en"": ""colorectal cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
111In-FAP-2286,111In-FAP-2286,111In-FAP-2286,FAP,含铟放射性示踪剂;anti-FAP多肽偶联核素,Novartis(Top20 MNC);3B Pharmaceuticals(原研);Clovis Oncology(无权益),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;中国无申报;Potential First-in-Class,多肽偶联核素;含铟放射性示踪剂,临床前,,Active,肿瘤领域,DR042207,欧洲,pre-clinical,临床前,,pre-clinical,3,TRUE,FALSE,TRUE,['Novartis'],['3B Pharmaceuticals'],1,"['Novartis(Top20 MNC)', '3B Pharmaceuticals(原研)', 'Clovis Oncology(无权益)']",['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}, {""indication"": ""SPECT显像"", ""indication_en"": ""SPECT imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
13N-oxytocin,13N-oxytocin,13N-oxytocin,OXTR,13N标记的PET药物;anti-OXTR多肽偶联核素,Tonix Pharmaceuticals(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;诊断用放射性药物;G蛋白偶联受体;Potential First-in-Class,13N标记的PET药物;多肽偶联核素,I期临床,2025/5/2,Active,诊断试剂领域,DR079142,美国,phase 1,I期临床,2025/5/2,phase 1,1,TRUE,FALSE,FALSE,[],['Tonix Pharmaceuticals'],1,['Tonix Pharmaceuticals(原研)'],['诊断试剂领域'],1,诊断试剂领域,,,1,1,Diagnostic Reagents,,,"[{""indication"": ""PET显像"", ""indication_en"": ""PET imaging"", ""therapeutic_area"": ""诊断试剂领域"", ""therapeutic_area_en"": ""Diagnostic Reagents"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
161Tb-DOTA-LM3,161Tb-DOTA-LM3,161Tb-DOTA-LM3,SSTR2,161Tb标记的放射性药物;anti-SSTR2多肽偶联核素,Paul Scherrer Institute(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;Potential First-in-Class,161Tb标记的放射性药物;多肽偶联核素,I期临床,2022/5/3,Active,肿瘤领域;罕见疾病领域,DR003476,欧洲,phase 1,I期临床,2022/5/3,phase 1,1,TRUE,TRUE,FALSE,[],['Paul Scherrer Institute'],1,['Paul Scherrer Institute(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""胃肠胰神经内分泌肿瘤"", ""indication_en"": ""Gastroenteropancreatic neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
177 Lu-DOTA-EB-RGD,177 Lu-DOTA-EB-RGD,177 Lu-DOTA-EB-RGD,αvβ3,177Lu标记的放射性药物;anti-αvβ3多肽偶联核素,Molecular Targeting Technologies(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;治疗用放射性药物,177Lu标记的放射性药物;多肽偶联核素,临床前,,Active,肿瘤领域,DR025932,美国,pre-clinical,临床前,,pre-clinical,1,TRUE,FALSE,FALSE,[],['Molecular Targeting Technologies'],1,['Molecular Targeting Technologies(原研)'],['肿瘤领域'],1,肿瘤领域,,,-1,-1,Oncology,,,"[{""indication"": ""非小细胞肺癌"", ""indication_en"": ""non-small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""pre-clinical"", ""highest_phase_sort_val"": -1}]"
177Lu-AB-3PRGD2,177Lu-AB-3PRGD2,177Lu-AB-3PRGD2,αvβ3,177Lu标记的放射性药物;anti-αvβ3多肽偶联核素,北京大学(原研),创新药,生物,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物;Potential First-in-Class,177Lu标记的放射性药物;多肽偶联核素,I期临床,2024/4/19,Active,肿瘤领域,DR065756,中国(内地),phase 1,I期临床,2021/8/19,phase 1,1,TRUE,FALSE,FALSE,[],['北京大学'],1,['北京大学(原研)'],['肿瘤领域'],1,肿瘤领域,,,1,1,Oncology,,,"[{""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""非小细胞肺癌"", ""indication_en"": ""non-small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
177Lu-DOTA-EB-TATE,177Lu-DOTA-EB-TATE,177Lu-DOTA-EB-TATE;EBTATE;177Lu-EBTATE,SSTR,anti-SSTR多肽偶联核素;177Lu标记的放射性药物,National Institutes of Health(原研);Molecular Targeting Technologies,创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物,多肽偶联核素;177Lu标记的放射性药物,I/II期临床,2025/5/28,Active,肿瘤领域,DR062226,美国,phase 2,I/II期临床,2025/5/28,phase 2,2,TRUE,FALSE,FALSE,[],['National Institutes of Health'],1,"['National Institutes of Health(原研)', 'Molecular Targeting Technologies']",['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""许特尔细胞瘤"", ""indication_en"": ""Hütter cell tumor"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""神经内分泌肿瘤"", ""indication_en"": ""neuroendocrine tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}, {""indication"": ""鼻咽癌"", ""indication_en"": ""Nasopharyngeal cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}, {""indication"": ""甲状腺癌"", ""indication_en"": ""Thyroid cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""ind"", ""highest_phase_sort_val"": 0}]"
177Lu-DPI-4452,177Lu-DPI-4452,177Lu-DPI-4452;Debio 0228;[177Lu]Lu-DPI-4452;ITM-91,CAIX,anti-CAIX多肽偶联核素;177Lu标记的放射性药物,Debiopharm;ITM Isotope;3B Pharmaceuticals(原研),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;治疗用放射性药物;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,I/II期临床,2024/3/25,Active,肿瘤领域,DR056890,欧洲,phase 2,I/II期临床,2023/1/31,phase 2,3,TRUE,FALSE,FALSE,[],['3B Pharmaceuticals'],1,"['Debiopharm', 'ITM Isotope', '3B Pharmaceuticals(原研)']",['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""非小细胞肺癌"", ""indication_en"": ""non-small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""三阴性乳腺癌"", ""indication_en"": ""triple negative breast cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""头颈癌"", ""indication_en"": ""Head and neck cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""尿路上皮癌"", ""indication_en"": ""urothelial carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""肾病"", ""indication_en"": ""kidney disease"", ""therapeutic_area"": ""泌尿生殖领域"", ""therapeutic_area_en"": ""Genitourinary"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""结直肠癌"", ""indication_en"": ""colorectal cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""胰腺导管癌"", ""indication_en"": ""pancreatic ductal carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""肾透明细胞癌"", ""indication_en"": ""clear cell renal cell carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}]"
177Lu-FAP-2286,177Lu-FAP-2286,177Lu-FAP-2286;3B-201;AAA614;[177Lu]Lu-FAPI-2286,FAP,anti-FAP多肽偶联核素;177Lu标记的放射性药物,Novartis(Top20 MNC);Clovis Oncology(无权益);3B Pharmaceuticals(原研)(无权益),创新药,化药,多肽;放射性药物;偶联药物,环肽;差异化疾病;Potential First-in-Class,多肽偶联核素;177Lu标记的放射性药物,II期临床,2025/8/26,Active,肿瘤领域,DR056891,欧洲,phase 2,II期临床,2025/3/18,phase 2,3,TRUE,FALSE,TRUE,['Novartis'],['3B Pharmaceuticals'],1,"['Novartis(Top20 MNC)', 'Clovis Oncology(无权益)', '3B Pharmaceuticals(原研)(无权益)']",['肿瘤领域'],1,肿瘤领域,,,2,2,Oncology,,,"[{""indication"": ""非小细胞肺癌"", ""indication_en"": ""non-small cell lung cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""乳腺癌"", ""indication_en"": ""breast cancer"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""尿路上皮癌"", ""indication_en"": ""urothelial carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""胰腺导管癌"", ""indication_en"": ""pancreatic ductal carcinoma"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""实体瘤"", ""indication_en"": ""solid tumors"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 2"", ""highest_phase_sort_val"": 2}, {""indication"": ""骨转移疼痛"", ""indication_en"": ""bone metastasis pain"", ""therapeutic_area"": ""肿瘤领域"", ""therapeutic_area_en"": ""Oncology"", ""highest_phase"": ""phase 1"", ""highest_phase_sort_val"": 1}]"
