drug_name,targets,mechanism_of_action,research_institution,indication_original,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,drug_category_3,drug_category_2,drug_tag,pharmacological_type,drug_category_1,drug_synonyms,carrier_type,disease_area,formulation_china,npuid,additional_data,originator_country,originator_rightsregion,china_highest_phase,usa_highest_phase,china_highest_phase_start_date,usa_highest_phase_start_date,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_norm,indication,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_norm_en,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en,indication_en,drug_name_en,drug_synonyms_en
杆菌肽,not available,多肽类抗生素,Columbia University(原研),细菌感染,批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,多肽类抗生素,创新药,杆菌肽;bacitracin,,感染领域,,DR004636,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2010-10-18,approved,批准上市,1948-07-29,approved,1,True,False,False,[],['Columbia University'],1,['Columbia University(原研)'],感染领域,细菌感染,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,,bacterial infection,bacitracin,杆菌肽;bacitracin
杆菌肽,not available,多肽类抗生素,Columbia University(原研),感染,III期临床,2009-10-28,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,多肽类抗生素,创新药,杆菌肽;bacitracin,,感染领域,,DR004636,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,III期临床,,2016-06-22,phase 3,批准上市,1948-07-29,approved,1,True,False,False,[],['Columbia University'],1,['Columbia University(原研)'],感染领域,感染,['感染领域'],1,感染领域,,,5,3,Infectious Diseases,Infectious Diseases,,,Infect,bacitracin,杆菌肽;bacitracin
杆菌肽,not available,多肽类抗生素,Columbia University(原研),接触性皮炎(差异化疾病),II期临床,2005-08-22,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,多肽类抗生素,创新药,杆菌肽;bacitracin,,皮肤领域,,DR004636,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,II期临床,,2005-08-22,phase 2,批准上市,1948-07-29,approved,1,True,False,False,[],['Columbia University'],1,['Columbia University(原研)'],皮肤领域,接触性皮炎,['皮肤领域'],1,皮肤领域,,,5,2,Dermatology,Dermatology,,,contact dermatitis,bacitracin,杆菌肽;bacitracin
杆菌肽,not available,多肽类抗生素,Columbia University(原研),葡萄球菌感染,I期临床,2009-10-19,Inactive,多肽,化药,环肽;First-in-Class;差异化疾病,多肽类抗生素,创新药,杆菌肽;bacitracin,,感染领域,,DR004636,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,I期临床,,2009-10-19,phase 1,批准上市,1948-07-29,approved,1,True,False,False,[],['Columbia University'],1,['Columbia University(原研)'],感染领域,葡萄球菌感染,['感染领域'],1,感染领域,,,5,1,Infectious Diseases,Infectious Diseases,,,Staph infection,bacitracin,杆菌肽;bacitracin
缩宫素,oxytocin,合成的oxytocin,Travere Therapeutics(原研),催产/引产,批准上市,,Active,多肽,化药,环肽;First-in-Class,合成的,创新药,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,,泌尿生殖领域,,DR032561,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,approved,批准上市,1954-06-30,approved,1,True,False,False,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],泌尿生殖领域,催产/引产,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,,Oxygen/induced labor,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin
缩宫素,oxytocin,合成的oxytocin,Travere Therapeutics(原研),产后子宫出血,批准上市,,Active,多肽,化药,环肽;First-in-Class,合成的,创新药,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,,泌尿生殖领域,,DR032561,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,approved,批准上市,1954-06-30,approved,1,True,False,False,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],泌尿生殖领域,产后子宫出血,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,,Postpartum uterine bleeding,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin
缩宫素,oxytocin,合成的oxytocin,Travere Therapeutics(原研),孤独症谱系障碍,III期临床,,Active,多肽,化药,环肽;First-in-Class,合成的,创新药,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,,精神领域,,DR032561,否,美国,全球;中国(内地);中国(港澳台);美国;欧洲;日本;其他,,,,,phase 3,批准上市,1954-06-30,approved,1,True,False,False,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],精神领域,孤独症谱系障碍,['精神领域'],1,精神领域,,,5,3,Psychiatry,Psychiatry,,,autism spectrum disorder,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin
多粘菌素B,not available,多粘菌素类抗生素,--,细菌性肺炎,批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,创新药,多粘菌素B;polymyxin B,,感染领域;呼吸领域,,DR049372,否,,,,,,,approved,批准上市,1956-08-06,approved,0,True,False,False,[],[],0,[],感染领域,细菌性肺炎,"['感染领域', '呼吸领域']",2,感染领域,呼吸领域,,5,5,Infectious Diseases,Infectious Diseases,Respiratory,,bacterial pneumonia,polymyxin B,多粘菌素B;polymyxin B
多粘菌素B,not available,多粘菌素类抗生素,--,菌血症(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,创新药,多粘菌素B;polymyxin B,,感染领域,,DR049372,否,,,,,,,approved,批准上市,1956-08-06,approved,0,True,False,False,[],[],0,[],感染领域,菌血症,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,,bacteremia,polymyxin B,多粘菌素B;polymyxin B
多粘菌素B,not available,多粘菌素类抗生素,--,细菌性心内膜炎(差异化疾病),批准上市,,Active,多肽,化药,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,创新药,多粘菌素B;polymyxin B,,感染领域;心脑血管领域,,DR049372,否,,,,,,,approved,批准上市,1956-08-06,approved,0,True,False,False,[],[],0,[],感染领域,细菌性心内膜炎,"['感染领域', '心脑血管领域']",2,感染领域,心脑血管领域,,5,5,Infectious Diseases,Infectious Diseases,Cardiovascular & Cerebrovascular,,bacterial endocarditis,polymyxin B,多粘菌素B;polymyxin B
