drug_name,drug_name_en,drug_synonyms,indication,indication_en,targets,mechanism_of_action,research_institution,drug_category_1,drug_category_2,drug_category_3,drug_tag,pharmacological_type,indication_original,global_highest_phase_indication,global_highest_phase_indication_start_date,global_development_status,disease_area,npuid,originator_country,highest_phase_indication_standard,global_highest_phase_all_indication,global_highest_phase_all_indication_date,global_highest_phase_all_indication_standard,research_institution_count,is_cyclic_peptide,is_rare_disease,is_top20_mnc,top20_mnc_list,originator_company_list,count_originator,research_institution_list,therapeutic_area_norm,therapeutic_area_list,count_therapeutic_area,therapeutic_area_primary,therapeutic_area_secondary,therapeutic_area_tertiary,global_highest_phase_all_indication_sort_val,highest_phase_standard_sort_val,therapeutic_area_norm_en,therapeutic_area_primary_en,therapeutic_area_secondary_en,therapeutic_area_tertiary_en
杆菌肽,bacitracin,杆菌肽;bacitracin,细菌感染,bacterial infection,not available,多肽类抗生素,Columbia University(原研),创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多肽类抗生素,细菌感染,批准上市,,Active,感染领域,DR004636,美国,approved,批准上市,1948/7/29,approved,1,TRUE,FALSE,FALSE,[],['Columbia University'],1,['Columbia University(原研)'],感染领域,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,
缩宫素,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,催产/引产,Oxygen/induced labor,oxytocin,合成的oxytocin,Travere Therapeutics(原研),创新药,化药,多肽,环肽;First-in-Class,合成的,催产/引产,批准上市,,Active,泌尿生殖领域,DR032561,美国,approved,批准上市,1954/6/30,approved,1,TRUE,FALSE,FALSE,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
缩宫素,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,产后子宫出血,Postpartum uterine bleeding,oxytocin,合成的oxytocin,Travere Therapeutics(原研),创新药,化药,多肽,环肽;First-in-Class,合成的,产后子宫出血,批准上市,,Active,泌尿生殖领域,DR032561,美国,approved,批准上市,1954/6/30,approved,1,TRUE,FALSE,FALSE,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],泌尿生殖领域,['泌尿生殖领域'],1,泌尿生殖领域,,,5,5,Genitourinary,Genitourinary,,
缩宫素,oxytocin,缩宫素;oxytocin;催产素;Syntocinon;TTA-121;OT;Pitocin,孤独症谱系障碍,autism spectrum disorder,oxytocin,合成的oxytocin,Travere Therapeutics(原研),创新药,化药,多肽,环肽;First-in-Class,合成的,孤独症谱系障碍,III期临床,,Active,精神领域,DR032561,美国,phase 3,批准上市,1954/6/30,approved,1,TRUE,FALSE,FALSE,[],['Travere Therapeutics'],1,['Travere Therapeutics(原研)'],精神领域,['精神领域'],1,精神领域,,,5,3,Psychiatry,Psychiatry,,
多粘菌素B,polymyxin B,多粘菌素B;polymyxin B,细菌性肺炎,bacterial pneumonia,not available,多粘菌素类抗生素,--,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,细菌性肺炎,批准上市,,Active,感染领域;呼吸领域,DR049372,,approved,批准上市,1956/8/6,approved,0,TRUE,FALSE,FALSE,[],[],0,[],感染领域,"['感染领域', '呼吸领域']",2,感染领域,呼吸领域,,5,5,Infectious Diseases,Infectious Diseases,Respiratory,
多粘菌素B,polymyxin B,多粘菌素B;polymyxin B,菌血症,bacteremia,not available,多粘菌素类抗生素,--,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,菌血症(差异化疾病),批准上市,,Active,感染领域,DR049372,,approved,批准上市,1956/8/6,approved,0,TRUE,FALSE,FALSE,[],[],0,[],感染领域,['感染领域'],1,感染领域,,,5,5,Infectious Diseases,Infectious Diseases,,
多粘菌素B,polymyxin B,多粘菌素B;polymyxin B,细菌性心内膜炎,bacterial endocarditis,not available,多粘菌素类抗生素,--,创新药,化药,多肽,环肽;First-in-Class;差异化疾病,多粘菌素类抗生素,细菌性心内膜炎(差异化疾病),批准上市,,Active,感染领域;心脑血管领域,DR049372,,approved,批准上市,1956/8/6,approved,0,TRUE,FALSE,FALSE,[],[],0,[],感染领域,"['感染领域', '心脑血管领域']",2,感染领域,心脑血管领域,,5,5,Infectious Diseases,Infectious Diseases,Cardiovascular & Cerebrovascular,
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,肾母细胞瘤,nephroblastoma,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,肾母细胞瘤,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,横纹肌肉瘤,rhabdomyosarcoma,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,横纹肌肉瘤,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,睾丸癌,testicular cancer,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,睾丸癌,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,尤文氏肉瘤,Ewing's sarcoma,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,尤文氏肉瘤,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,
放线菌素D,dactinomycin,放线菌素D;dactinomycin;Cosmegen;actinomycin D;Act D,妊娠滋养细胞肿瘤,gestational trophoblastic tumor,DNA,放线菌素抗生素,Recordati Rare Diseases(原研);Tiziana Life Sciences;Rasna(无权益),创新药,化药,其他,环肽;First-in-Class,放线菌素抗生素,妊娠滋养细胞肿瘤,批准上市,,Active,罕见疾病领域;肿瘤领域,DR001704,欧洲,approved,批准上市,1964/12/10,approved,3,TRUE,TRUE,FALSE,[],['Recordati Rare Diseases'],1,"['Recordati Rare Diseases(原研)', 'Tiziana Life Sciences', 'Rasna(无权益)']",肿瘤领域,['肿瘤领域'],1,肿瘤领域,,,5,5,Oncology,Oncology,,
